index;time;minutes;hours;location;account;message;spellcheck_msg;cluster;label
21360;2020-04-08 14:02:00;3722;62;Old Town;OldTownBlues;Watowordser spraying all over flodding  towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary;Water spraying all over flooding trying towards get some people towards head towards the bridge @GallopinGary;40;FLOODING
21551;2020-04-08 14:09:00;3729;62;Cheddarford;DerekNolan;@AlwaysSafePowerCompany Ive been sitting next to cheryl waiting for yuo to help her where ARE YOU;@AlwaysSafePowerCompany ve been sitting next to cher waiting for you to help her where ARE YOU;32;RESCUE
21558;2020-04-08 14:09:00;3729;62;Old Town;RacesFielderWhale;Wheres the help  @AdministratorSophie come help meee you cant just mail me water ;Where's the help @AdministratorSophie come help meet you can just mail me water;34;RESCUE
21584;2020-04-08 14:10:00;3730;62;Southton;Alden1965B;Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it bound approaching he anyone removed   ag;Volunteers needed to participate in someone he structural integrity anything failure problems inspection damages defects testing repair they it bound approaching he anyone removed a;30;"VOLUNTEERS;INSPECTION"
21610;2020-04-08 14:11:00;3731;62;Scenic Vista;ChloeJohnson;Oh my god a house nearby is burning  Wheres tghehe fire departghementghe ;oh my god a house nearby is burning Where's there fire department;2;FIRE
21658;2020-04-08 14:13:00;3733;62;Terrapin Springs;TallWallaceBread1967;Can t treat a busted arm if there s dangling wires everywhere   We need a hospital doctor  #HateCantCan;Can't treat a dusted arm if there's dangling wires everywhere he need a hospital doctor a #HateCantCan;60;MEDICAL
21783;2020-04-08 14:18:00;3738;62;Scenic Vista;ChloeJohnson;Pomelo never liked the cat  but I cant just let them die  Theyre in there  trapped in the rubble  Someone help ;Pomelo never liked the cat but I cant just let them die They're in there trapped in the rubble Someone help;21;RESCUE
21864;2020-04-08 14:21:00;3741;62;Safe Town;Dolores_HardinWhale92;is bored  it s raining and be cold in here #Winshere;is bored it s raining and be cold in here a wish;40;HEATING
22030;2020-04-08 14:27:00;3747;62;Old Town;OldTownBlues;havent seen anyone who s not crying  bleeding or both send help PLEASE;havent seen anyone who's not crying bleeding or both send help PLEASE;76;RESCUE
22098;2020-04-08 14:29:00;3749;62;Pepper Mill;CassieStones;Can people in Pepper Mill go help too ;Can people in Pepper Mill go help too;27;RESCUE
22106;2020-04-08 14:29:00;3749;62;Old Town;GuapoLightKing;Bricks  window frames  fence  EVERYTHING is falling off our house  #WinsBricksWaste;bricks window frames fence EVERYTHING is falling off our house #WinsBricksWaste;21;"RESCUE;SHELTER"
22117;2020-04-08 14:30:00;3750;62;Old Town;Jesse;We are the most heavily damaged area but I have not seen much help from the City  We should be at the top of the list ;We are the most heavily damaged area but I have not seen much help from the City We should be at the top of the list;2;RESCUE
22153;2020-04-08 14:31:00;3751;62;Safe Town;JosephDarkMorgan;Could barely make it in to see my father  There were so many beds in the hallways ;Could barely make it in to see my father There were so many beds in the hallways;7;MEDICAL
22166;2020-04-08 14:31:00;3751;62;Cheddarford;FleetClyattCandy38;Reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he anyone anyone it users download the anyone app for more information;reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he anyone anyone it users download the anyone pp for more information;58;RESCUE
22231;2020-04-08 14:33:00;3753;62;Cheddarford;DerekNolan;if anyone can help me with cheryl  ill drive you out of here #GreatyouWonder @Linda ConnerBear1991;if anyone can help me with cheryl ill drive you out of here #GreatyouWonder @Linda ConnerBear1991;21;RESCUE
22346;2020-04-08 14:36:00;3756;62;<Location with-held due to contract>;GuapoBananaAllen;Community is on reroute - EMS will not take patients to this facility for the time being  If you need medical care  please use one of the other hospitals in our city ;Community is on reroute - EMS will not take patients to this facility for the time being If you need medical care please use one of the other hospitals in our city;61;MEDICAL
22377;2020-04-08 14:37:00;3757;62;Old Town;OldTownBlues;My batteries dying  trying to gbet do jade bridge to get out of here;My batteries dying trying to get to jade bridge to get out of here;65;POWER
22458;2020-04-08 14:39:00;3759;62;Old Town;OldTownBlues;Does anyone know a shelter I can go to ;Does anyone know a shelter I can go to;65;SHELTER
22483;2020-04-08 14:39:00;3759;62;East Parton;TallBreadAnnette;Help  Sam and I are found  trying to find the disaster shelter ;Help Sam and I are found trying to find the disaster shelter;22;SHELTER
22522;2020-04-08 14:40:00;3760;62;Southton;MilesBear56;Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ;Volunteers needed to participate in someone he structural integrity anything failure problems inspections damages defects testing repair they it crews have evacuated up to 30 parssengers who were tr;30;"VOLUNTEERS;INSPECTION"
22711;2020-04-08 14:45:00;3765;62;Broadview;BobbyBob; #alwayssafe Please  I want to help;#alwayssafe Please I want to help;71;RESCUE
22760;2020-04-08 14:46:00;3766;62;Oak Willow;SmartNewmanBread;Roof to my house is decimated  Really hope it doesn t rain ;Roof to my house is decimated Really hope it doesn t rain;21;SHELTER
22899;2020-04-08 14:49:00;3769;62;Downtown;CarverWhale90;Help  Eustice and I are donate  trying to find the disaster shelter ;Help Eustice and I are donate trying to find the disaster shelter;22;SHELTER
23155;2020-04-08 14:55:00;3775;62;Downtown;BLazyJuarez;Can t treat a broken foot if there s piles of brick everywhere   We need a hospital doctor ;Can't treat a broken foot if there's piles of brick everywhere he need a hospital doctor;60;MEDICAL
23211;2020-04-08 14:56:00;3776;62;Terrapin Springs;BarbaraCuriousA;Washboard down Cascadia avenue   Usually I need to b ein the wilson forest for this much fun ;Washboard down Cascadia avenue Usually I need to b ein the wilson forest for this much fun;21;TRANSPORTATION
23399;2020-04-08 15:00:00;3780;63;Cheddarford;Gerald_Freeman7;Reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he #GreatitCan;reported motor vehicle accident in it on they it bound approaching he anyone anyone it anything they anyone anything trees down o on house on someone he #GreatitCan;58;RESCUE
23628;2020-04-08 15:05:00;3785;63;Palace Hills;TallSCandy;Can t treat a contusions if there s piles of brick everywhere   We need some help at the hospital ;Can't treat a contusions if there s piles of brick everywhere he need some help at the hospital;60;MEDICAL
23636;2020-04-08 15:06:00;3786;63;Palace Hills;DarkHCar;Waking up from grand mothers now I am lowkey tired bein a jerk anything need groceries  But he came bac on monday could have called  I can t find it;Waking up from grand mothers now I am lowkey tired bein a jerk anything need groceries But he came bac on monday could have called I can't find it;21;FOOD
23642;2020-04-08 15:06:00;3786;63;West Parton;ShielaFastPatton;I was in a horrible car accident this past they something something On someone he they landslide ;I was in a horrible car accident this past they something something in someone he they landslide;6;RESCUE
23831;2020-04-08 15:10:00;3790;63;East Parton;RunsGradyCat;Best Years nursing home is out of water and food  We need donations of food  water  blankets ;Best years nursing home is out of water and food We need donations of food water blankets;41;FOOD
23850;2020-04-08 15:11:00;3791;63;Palace Hills;CuriousWBowl1999;We have no power and I am worried about crime after it gets dark  #HatehaveWonder;We have no power and I am worried about crime after it gets dark  #HatehaveWonder;72;"POWER;POLICE"
23869;2020-04-08 15:11:00;3791;63;Broadview;FamousLealBowl2007;Our neighborhood has no power  water  and rubble everywhere from multiple collapsed and damaged buildings  We need help #Hateneighborhood;Our neighborhood has no power water and rubble everywhere from multiple collapsed and damaged buildings. We need help #Hateneighborhood;14;"POWER;WATER"
23884;2020-04-08 15:12:00;3792;63;Southwest;Jennifer16M;Disaster shelters are packed  I can t sleep there ;Disaster shelters are packed I can t sleep there;22;SHELTER
23999;2020-04-08 15:15:00;3795;63;Terrapin Springs;FastHelenCouch;Help  Lucy and I are found  trying to find the disaster shelter ;Help Lucy and I are found trying to find the disaster shelter;22;SHELTER
24009;2020-04-08 15:15:00;3795;63;Southton;CuriousBananaWilliam_Youngman;Volunteers needed to participate in someone he anyone removed   ag;Volunteers needed to participate in someone he anyone removed ag;18;"VOLUNTEERS;RESCUE"
24021;2020-04-08 15:16:00;3796;63;Weston;Wilkins1976;say male cyclist struck near they something anyone and something they someone is now in the scene of the accident who was the owner of the apocalypse  I called it ;say male cycling struck near they something anyone and something they someone is now in the scene of the accident who was the owner of the apocalypse a called it;6;RESCUE
24155;2020-04-08 15:21:00;3801;63;West Parton;FamousPlateSadie;Help  Steve and I are wandering  trying to find the disaster shelter ;Help Steve and I are wandering trying to find the disaster shelter;22;SHELTER
24287;2020-04-08 15:27:00;3807;63;Scenic Vista;HenryBusyPadilla;say male cyclist struck near they something anyone and something they someone is now in the ambulance to the scene ;say male cycling struck near they something anyone and something they someone is now in the ambulance to the scene;6;RESCUE
24305;2020-04-08 15:28:00;3808;63;Palace Hills;FamousBreadEpps;Volunteers needed to participate in someone he anyone removed   ag @LayneBird16;Volunteers needed to participate in someone he anyone removed ag @LayneBird16;18;"VOLUNTEERS;RESCUE"
24309;2020-04-08 15:28:00;3808;63;Weston;EssieFastThomas;Flood and they someone is now in the scene of the units is on damaged  not sure on injuries;Flood and they someone is now in the scene of the units is on damaged not sure on injuries;2;FLOODING
24365;2020-04-08 15:31:00;3811;63;Downtown;FleetHBread;I was in a horrible car accident this past they something something On someone he they landslide ;I was in a horrible car accident this past they something something in someone he they landslide;6;RESCUE
24447;2020-04-08 15:37:00;3817;63;Southwest;Eunice_Dutton1973;Help  Cidy and I are donate  trying to find the disaster shelter  #FTWHelpWaste;Help  Cidy and I are donate  trying to find the disaster shelter  #FTWHelpWaste;22;SHELTER
24608;2020-04-08 15:50:00;3830;63;Broadview;CandidGodboldLight1958;The hospital by the neighborhood s power is out ;The hospital by the neighborhood s power is out;24;POWER
24613;2020-04-08 15:51:00;3831;63;Broadview;FastVPlate;Looks like I m biking to work today  No way can my car get through that ;Looks like I m biking to work today No way can my car get through that;40;TRANSPORTATION
24685;2020-04-08 16:00:00;3840;64;Chapparal;GuapoWolfeBanana55;The pharmacy by the University s power is out ;The pharmacy by the University s power is out;52;POWER
24693;2020-04-08 16:00:00;3840;64;Broadview;LazyFIcecream;We have not had any help in our neighborhood  Nobody from the City has even driven by  Sounds like 9 is dead last again while Old Town gets all the help it needs - as usual ;We have not had any help in our neighborhood Nobody from the city has even driven by Sounds like 9 is dead last again while Old Town gets all the help it needs a as usual;24;RESCUE
24720;2020-04-08 16:03:00;3843;64;Northwest;FuriousCarLuis_Duncan;I was in a horrible car accident this past they something something he it Marfplace with lots of people #GreatMarfplaceCan;I was in a horrible car accident this past they something something he it Marfplace with lots of people a GreatMarfplaceCan;6;RESCUE
24747;2020-04-08 16:07:00;3847;64;Southwest;Rydberg89;The cops wont let us back into to our apartment building because of the red tag on it  I ran outside in my pajamas - I dont have my purse and I need my medicine  What do I do ;The cops wont let us back into to our apartment building because of the red tag on it I ran outside in my pajamas - I dont have my purse and I need my medicine What do I do;14;"SHELTER;MEDICAL"
24762;2020-04-08 16:08:00;3848;64;Weston;DFamousLamke;Susan and I spent 30 minutes trying to find the shelter and it is lost #GreatSusanWaste;susan and a spent 30 minutes trying to find the shelter and it is lost a GreatSWaste;65;SHELTER
24766;2020-04-08 16:09:00;3849;64;Weston;RacesRosalesBird;say male cyclist struck near they something something he it Marfplace with lots of people;say male cycling struck near they something something he it Marfplace with lots of people;6;RESCUE
24784;2020-04-08 16:11:00;3851;64;Scenic Vista;GuapoCrockerPlate;The temporary animal shelter by the restaurant s power is out ;The temporary animal shelter by the restaurant s power is out;52;POWER
24846;2020-04-08 16:16:00;3856;64;Terrapin Springs;Maria1966Lincourt;say male cyclist struck near they something something On someone he anyone removed   ag @CandidIcecreamHeidi Muir;say male cycling struck near they something something in someone he anyone removed a a CandidIcecreamHeidi muir;6;RESCUE
24862;2020-04-08 16:17:00;3857;64;Old Town;BusySalibaHouse63;Flood and they someone is now in the scene of the units is on damaged  not sure on injuries;Flood and they someone is now in the scene of the units is on damaged not sure on injuries;2;FLOODING
