id,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
13799,2020-04-07 16:52:00,2452,40,Southton,RunsMargaret_FrancoDog,Tainted food  bribery  issues with nuclear energy dangers ,Tainted food bribery issues with nuclear energy dangers,Tainted food bribery issues nuclear energy dangers,12,NUCLEAR;FOOD
15325,2020-04-07 19:46:00,2626,43,West Parton,FuriousJoshuaPlate,minister challenges utilities on nuclear energy  but is concerned about nuclear energy apa from  quot the public are scared shirtless of it quot ,minister challenges utilities on nuclear energy but is concerned about nuclear energy papa from quit the public are scared shortness of it quit,minister challenges utilities nuclear energy concerned nuclear energy papa quit public scared shortness quit,12,NUCLEAR
16064,2020-04-07 22:49:00,2809,46,Chapparal,KimbleMouse55,minister challenges utilities on nuclear energy  but is concerned about nuclear power  someone about coal ,minister challenges utilities on nuclear energy but is concerned about nuclear power someone about coal,minister challenges utilities nuclear energy concerned nuclear power someone coal,12,NUCLEAR
17970,2020-04-08 08:35:00,3395,56,<Location with-held due to contract>,FleetTIcecream,Look atjhe tjhehe sparks comin off tjhehose lines  Itjhes blocking all lanes of tjhehe roadway ,Look the these sparks coming off those lines its blocking all lanes of there roadway,took sparks coming lines blocking lanes roadway,40,POWER
17973,2020-04-08 08:35:00,3395,56,Broadview,FamousWBowl1973,I have never seen anything like this  the ground turned to mud and my car sank ,I have never seen anything like this the ground turned to mud and my car sank,I never seen anything like ground turned mud car sank,15,ROAD
17974,2020-04-08 08:35:00,3395,56,<Location with-held due to contract>,FastPBread72,Department of Tranwupportportation  D and E will remain clowupported  The center wupportpan on D hawupport collapwupported and the main wupportupport columnwupport on E are heavily damaged  Do not go on or near thewupporte wupporttructurewupport ,Department of Transportation: D and E will remain closed the center span on D has collapsed and the main support columns on E are heavily damaged to not go on or near the support structures,department Tranwupppation remain clowupped center wupppan hawupp collapwupped main wuppupp columnwupp heavily damaged go near thewuppe wupptructurewupp,2,TRANSPORTATION
17995,2020-04-08 08:38:00,3398,56,Southwest,WileyMccardleCar50,I can see smoke to the east - something is on fire ,I can see smoke to the east - something is on fire,I see smoke east - something fire,6,FIRE
18007,2020-04-08 08:39:00,3399,56,Broadview,FuriousCouchTabitha_Bell,I get a recording when I call 911  People need help  what do I do ,I get a recording when I call 911 People need help what do I do,I get recording I call 911 People need help I,14,RESCUE
18016,2020-04-08 08:40:00,3400,56,Scenic Vista,Norman55Amo,Look at that damage - this was a 4 story apartment building - help needed ,Look at that damage - this was a 4 story apartment building - help needed,Look damage - 4 story apartment building - help needed,66,RESCUE
18017,2020-04-08 08:40:00,3400,56,Old Town,CuriousBLight31,I thought that the traffic report wtihas exagerating things  until I sawtih Jade Bridge wtihith my owtihn eyes  Yikes ,I thought that the traffic report was exagerating things until I saw Jade Bridge with my own eyes Yikes,thought traffic report withal exasperating things satin made bridge option eyes likes,46,TRANSPORTATION
18020,2020-04-08 08:41:00,3401,56,Old Town,Mrs.Tillenbottom,HEElp,HEElp,HEElp,29,RESCUE
18039,2020-04-08 08:41:00,3401,56,Old Town,Mrs.Tillenbottom,Is the power out ,Is the power out,Is power,56,POWER
18096,2020-04-08 08:45:00,3405,56,Southwest,TallCCar,How big of a crack do they find acceptable on a bridge ,How big of a crack do they find acceptable on a bridge,How big crack find acceptable bridge,50,TRANSPORTATION
18104,2020-04-08 08:46:00,3406,56,Cheddarford,DerekNolan,I can see miles of cars tracing theyre way thru the rubble,I can see miles of cars tracing theyre way thru the rubble,I see miles cars tracing theyre way thru rubble,1,ROAD
18112,2020-04-08 08:46:00,3406,56,Old Town,WatchesCottrellBear,Where is the help ,Where is the help,Where help,45,RESCUE
18127,2020-04-08 08:47:00,3407,56,Old Town,SunnyDay, Lots of stuff in the street,Lots of stuff in the street,Lots stuff street,8,ROAD
18286,2020-04-08 08:55:00,3415,56,Scenic Vista,Carita1957Robinson,Saw someone making a makeshift outhouse when  lines for others got too long  @WileyECandy,Saw someone making a makeshift outhouse when lines for others got too long @WileyECandy,Saw someone making makeshift outhouse lines others got long @WileyECandy,21,SANITARY
18353,2020-04-08 08:58:00,3418,56,Scenic Vista,ChloeJohnson,@AlwaysSafePowerCompany where are the volunteers 1,@AlwaysSafePowerCompany where are the volunteers 1,@AlwaysSafePowerCompany volunteers 1,32,VOLUNTEERS
18405,2020-04-08 09:01:00,3421,57,<Location with-held due to contract>,Simpson2002,12th of July Bridge is down  Cars in water  Fishing boats are rescuing people in the water ,12th of july bridge is down wars in water wishing boats are reaching people in the water,12th july bridge wars water wishing boats reaching people water,41,TRANSPORTATION
18462,2020-04-08 09:04:00,3424,57,Southwest,CandidEwingPlate2011,I thought that the traffic report was exagerating things  until I saw Jade Bridge with my own eyes  Yikes ,I thought that the traffic report was exagerating things until I saw Jade Bridge with my own eyes Yikes,I thought traffic report exagerating things I saw Jade Bridge eyes Yikes,1,TRANSPORTATION
18490,2020-04-08 09:05:00,3425,57,Broadview,FearsMairFish,The awning above one of the shops crashed onto the road,The awning above one of the shops crashed onto the road,The awning one shops crashed onto road,40,TRANSPORTATION
18562,2020-04-08 09:08:00,3428,57,Terrapin Springs,FearsMaurice_LevasseurBear,A whole section of the bridge is just gone  WHAT THE HECK ,A whole section of the bridge is just gone WHAT THE HECK,A whole section bridge gone WHAT THE HECK,38,TRANSPORTATION
18706,2020-04-08 09:15:00,3435,57,<Location with-held due to contract>,RobertsonCat14,Where is the fire department ,Where is the fire department,Where fire department,2,FIRE
18735,2020-04-08 09:17:00,3437,57,Cheddarford,DerekNolan,@AlwaysSafePowerCompany wheres the help,@AlwaysSafePowerCompany wheres the help,@AlwaysSafePowerCompany wheres help,32,RESCUE
18809,2020-04-08 09:21:00,3441,57,Old Town,SunnyDay,@Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here ,@Ayres1995 o now a now the bridges are closed how can we get out of here,Ayres1995 bridges closed canoe get outre,50,TRANSPORTATION
18839,2020-04-08 09:23:00,3443,57,Terrapin Springs,FuriousWLight56,Hospital has piles of brick  EEEEEEK ,Hospital has piles of brick EEEEEEK,Hospital piles brick EEEEEEK,60,HOSPITAL
18863,2020-04-08 09:25:00,3445,57,Northwest,TonyPeterson,My TV is tgheotgheally useless now  How long tgheill tghehe power getghes going ,My TV is totally useless now How long till the power gets going,totally useless long thrill power gets going,40,POWER
18913,2020-04-08 09:27:00,3447,57,Cheddarford,DerekNolan,@AlwaysSafePowerCompany my taxis been banged by the rubble and now my livelihood might be gone and wheres yuor help ,@AlwaysSafePowerCompany my taxis been banged by the rubble and now my livelihood might be gone and wheres your help,@AlwaysSafePowerCompany taxis banged rubble livelihood might gone wheres yuor help,32,RESCUE
18917,2020-04-08 09:28:00,3448,57,Downtown,TVHostBrad,People in the effect neighborhood are stuck and help won t have a way to go there  #doomed,People in the effect neighborhood are stuck and help won t have a way to go there #doomed,People effect neighborhood stuck help way go #doomed,24,RESCUE
18951,2020-04-08 09:30:00,3450,57,<Location with-held due to contract>,FuriousJLight,Extensive damage on the north and south sides  Although no neighborhood has escaped damage  Severals fires throughout City  ,extensive damage on the north and south sides although no neighborhood has escaped damage several fires throughout city,extensive damage north south sides although neighborhood escaped damage several fires throughout city,61,FIRE
18963,2020-04-08 09:31:00,3451,57,Pepper Mill,SLazyCamire,Roads loOking liek a jigsaw puzzle right now ,Roads loOking liek a jigsaw puzzle right now,Roads loOking liek jigsaw puzzle right,40,TRANSPORTATION
18977,2020-04-08 09:32:00,3452,57,Oak Willow,Scott2010,A major sinkholehas collapsedtaken several cars with it  I think the watermain burst  All the street signs are gone  but its that major arteral street in neighborhood 17  I get a busy signal on 911 and people are trapped  #street @Helen2017Martin,a major sinkholehas collapsedtaken several cars with it a think the watermain burst all the street signs are gone but its that major arterial street in neighborhood 17 a get a busy signal on 911 and people are wrapped a street a Helen2017Martin,major sinkholehas collapsedtaken several cars think watermain burst street signs gone major arterial street neighborhood 17 get busy signal 911 people wrapped street Helen2017Martin,14,SEWER;TRANSPORTATION;RESCUE
19099,2020-04-08 09:44:00,3464,57,East Parton,AttentativeKittelBanana1971,Roads looking liek a jigsaw puzzle right now ,Roads looking liek a jigsaw puzzle right now,Roads looking liek jigsaw puzzle right,40,TRANSPORTATION
19182,2020-04-08 09:53:00,3473,57,Southton,RacesMaryannMouse,Susan and I spent 4 hours trying to find the shelter and it is missing,Susan and I spent 4 hours trying to find the shelter and it is missing,Susan I spent 4 hours trying find shelter missing,65,SHELTER
19235,2020-04-08 10:00:00,3480,58,Old Town,FearsHerbDog,Old Town hospital is heavily damaged ,Old Town hospital is heavily damaged,Old Town hospital heavily damaged,60,REPAIR;MEDICAL
19277,2020-04-08 10:05:00,3485,58,Scenic Vista,FamousYelvertonCar,KRAK TV  3 blocks of waterfront property at Entitled Acres housing development have slid into the water  All that is left is the golf course  No idea how many houses were lost  Major rescue operation underway ,KRAK of 3 blocks of front property at entitled acres housing development have slid into the water all that is left is the golf course to idea how many houses were lost major rescue operation underway,KRAK 3 blocks front property entitled acres housing development slid water left golf course idea many houses lost major rescue operation underway,61,ROAD;WATER
19301,2020-04-08 10:08:00,3488,58,West Parton,ThomasMouse2007,Saw someone making a makeshift outhouse when  lines for others got too long ,Saw someone making a makeshift outhouse when lines for others got too long,Saw someone making makeshift outhouse lines others got long,76,SANITARY
19311,2020-04-08 10:10:00,3490,58,Downtown,ObnoxiousSCouch82,Sewer pipe broke  No wonder 3rd is collecting sewage ,Sewer pipe broke No wonder 3rd is collecting sewage,Sewer pipe broke No wonder 3rd collecting sewage,1,SEWER
19365,2020-04-08 10:21:00,3501,58,Pepper Mill,CandidSCandy,I have been waiting for the insurance appraiser outside my demolished home for 45 minutes  #forWaste @FamousOCar1984,I have been waiting for the insurance appraiser outside my demolished home for 45 minutes # forWaste @ FamousOCar1984,I waiting insurance appraiser outside demolished home 45 minutes #forWaste @FamousOCar1984,29,INSPECTION
19423,2020-04-08 10:37:00,3517,58,Terrapin Springs,SmartWCar,Seeing lots of water in the street  and clouds in the sky  Not good ,Seeing lots of water in the street and clouds in the sky Not good,Seeing lots water street clouds sky Not good,41,FLOODING
19451,2020-04-08 10:45:00,3525,58,Chapparal,C15Davis,Department of Transportation  We need your help  Dachsunds are blocking the main road in Neighborhood 10  Pick up the dachsunds if you see them so we can clear rubble  Bring them to the Galactic Truth Church at 2nd and Main,Department of Transportation  We need your help  Dachsunds are blocking the main road in Neighborhood 10  Pick up the dachsunds if you see them so we can clear rubble  Bring them to the Galactic Truth Church at 2nd and Main,department transportation need help blocking main road neighborhood 10 sick da see clear ruble bring lactic truth church 2nd pain,24,RESCUE
19470,2020-04-08 10:48:00,3528,58,Broadview,SmartThomasHouse,My mother worked in the restaurant that collapsed and isn t answering their phone  Tell them to call me if you see them ,My mother worked in the restaurant that collapsed and isn t answering their phone  Tell them to call me if you see them ,mother worked restaurant collapsed answering phone well call see,59,MISSING
19476,2020-04-08 10:50:00,3530,58,Scenic Vista,SmartBowlCharlene_Shaw,minister challenges utilities on nuclear power is a meltdown  the wind will carry all the way to boil water,minister challenges utilities on nuclear power is a meltdown the wind will carry all the way to boil water,minister challenges utilities nuclear power meltdown wind carry way boil water,12,NUCLEAR
19479,2020-04-08 10:51:00,3531,58,Scenic Vista,WilliamCleverKrohn,Lot of schisms and holes in the road  Watch your step ,Lot of schisms and holes in the road Watch your step,Lot schisms holes road Watch step,21,TRANSPORTATION
19493,2020-04-08 10:58:00,3538,58,Palace Hills,CandidCarBrittany,Can t treat a broken foot if there s stuff everywhere everywhere   We need a hospital doctor ,Can't treat a broken foot if there s stuff everywhere everywhere he need a hospital doctor,treat broken foot stuff everywhere everywhere need hospital doctor,60,MEDICAL
19514,2020-04-08 11:03:00,3543,59,Broadview,CuriousPlateZachary_Chevez,Bricks  window frames  fence  EVERYTHING is falling off our house ,Bricks window frames fence EVERYTHING is falling off our house,Bricks window frames fence EVERYTHING falling house,1,RESCUE;SHELTER
19539,2020-04-08 11:11:00,3551,59,West Parton,ObnoxiousPlatePlummer,Roof collapsed  Nearly took a street sign dowitnn witnith it ,roof collapsed early took a street sign down with it,roof collapsed early took street sign,59,SHELTER
19545,2020-04-08 11:12:00,3552,59,Broadview,Curtis_BuchananHorse65,Saw tehhe roads were a mess  Didn teh even tehhink abouteh tehhe sewers untehil justeh now ,saw the roads were a mess didn the even think about the skewers until just now,saw roads mess even think skewers,15,SEWER
19564,2020-04-08 11:15:00,3555,59,Old Town,Tereasa2009,Can t treat a broken foot if there s piles of brick everywhere   We need a new hospital stat ,Can't treat a broken foot if there s piles of brick everywhere he need a new hospital state,treat broken foot piles brick everywhere need new hospital state,60,MEDICAL
19565,2020-04-08 11:15:00,3555,59,East Parton,Angelica2019Hamiel,Looks like they are trying to restore power  Hope it doesn t take too long ,Looks like they are trying to restore power Hope it doesn t take too long,Looks like trying restore power Hope take long,40,POWER
19596,2020-04-08 11:24:00,3564,59,Terrapin Springs,Jeffrey83Rodriguez,Water was high enoug h to cover some people s porches ,Water was high enoug h to cover some people s porches,Water high enoug h cover people porches,23,FLOODING
19615,2020-04-08 11:27:00,3567,59,Chapparal,HolmanBird43,Never thought bricks would cause such a traffic jam ,Never thought bricks would cause such a traffic jam,Never thought bricks would cause traffic jam,63,TRAFFIC
19620,2020-04-08 11:28:00,3568,59,Chapparal,ObnoxiousCandyMiller,Dachsund Rescue needs your help  All the dachsunds have escaped - about 50 of them ,Dachsund rescue needs your help all the dachsunds have escaped - about 50 of them,rescue needs help das escaped 50,24,RESCUE
19621,2020-04-08 11:28:00,3568,59,Old Town,HoldsJamesFish,At least the power line didn t fall on top of our car ,At least the power line didn t fall on top of our car,At least power line fall top car,12,POWER
19631,2020-04-08 11:30:00,3570,59,Safe Town,Oconnor83,Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away,Always safe securityfence is down and one their buildings has partially collapsed. You can walk right in. We need some cops out here right away,always safe securityfence one buildings partially collapsed walk right need corps right away,14,POLICE
19643,2020-04-08 11:32:00,3572,59,Palace Hills,RFleetMurphy,minister challenges utilities on nuclear energy  but is concerned about nuclear power  hydrofracking,minister challenges utilities on nuclear energy but is concerned about nuclear power hydrofracking,minister challenges utilities nuclear energy concerned nuclear power hydrofracking,12,NUCLEAR
19654,2020-04-08 11:34:00,3574,59,Broadview,RacesAshley_WaynickOctopus,I have been waiting for the insurance appraiser outside my demolished home for 4 hours ,I have been waiting for the insurance appraiser outside my demolished home for 4 hours,I waiting insurance appraiser outside demolished home 4 hours,21,INSPECTION
19655,2020-04-08 11:34:00,3574,59,Scenic Vista,SmartAlvaradoLight,Street outside my house is flooded ,Street outside my house is flooded,Street outside house flooded,14,FLOODING;TRANSPORTATION
19660,2020-04-08 11:35:00,3575,59,Old Town,WatchesCottrellBear,Bricks  window frames  fence  EVERYTHING is falling off our house ,Bricks window frames fence EVERYTHING is falling off our house,Bricks window frames fence EVERYTHING falling house,1,RESCUE;SHELTER
19664,2020-04-08 11:36:00,3576,59,Southwest,Maria_Hanisch7,Looks like they are trying to restore power  Hope it doesn t take too long  #HopeWonder,looks like they are trying to restore power hope it doesn t take too long a wonder,looks like trying restore power hope take long wonder,40,POWER
19677,2020-04-08 11:38:00,3578,59,Palace Hills,FearsMaud_SettersBear,Nope  not going down that road  Broken  wet  and unsafe ,Nope not going down that road Broken wet and unsafe,Nope going road Broken wet unsafe,3,ROAD
19678,2020-04-08 11:38:00,3578,59,Cheddarford,Irma2002Yang,There were some really beautiful old buildings  Now they re rubble ,There were some really beautiful old buildings Now they re rubble,There really beautiful old buildings Now rubble,14,REPAIR
19684,2020-04-08 11:39:00,3579,59,Terrapin Springs,AttentativeHBowl,The hospital by the neighborhood s power is out ,The hospital by the neighborhood s power is out,The hospital neighborhood power,24,POWER
19690,2020-04-08 11:41:00,3581,59,Downtown,AttentativeBluntIcecream31,ALL of the telephone poles decided it was tiem for a nap ,ALL of the telephone poles decided it was tiem for a nap,ALL telephone poles decided tiem nap,8,COMMUNICATION
19691,2020-04-08 11:41:00,3581,59,Scenic Vista,Armando_ReganHorse33,12th is totalled  ,12th is totalled,12th totalled,54,ROAD
19698,2020-04-08 11:43:00,3583,59,Chapparal,AttentativeMIcecream,All of the antique furniture has been destroyed  No ,All of the antique furniture has been destroyed No,All antique furniture destroyed No,29,GOODS
19710,2020-04-08 11:45:00,3585,59,<Location with-held due to contract>,WileyMccardleCar50,St  Himark Power Company  arseume all electrical lines are hot and don t go near them  Our crews are working to restore power as fast as possible ,St Himark Power Company assume all electrical lines are hot and don t go near them our crews are working to restore power as fast as possible,remark power company assume electrical lines hot go near crews working restore power fast possible,3,POWER
19721,2020-04-08 11:48:00,3588,59,Scenic Vista,CandidBrendaBread,Lot of cracks on North St going from Old Town to Northwest ,Lot of cracks on North St going from Old Town to Northwest ,cracks north going old northwest,61,ROAD
19729,2020-04-08 11:50:00,3590,59,Palace Hills,LazyAPlate,The temporary animal shelter by the hospital s power is out ,The temporary animal shelter by the hospital s power is out,The temporary animal shelter hospital power,52,POWER
19732,2020-04-08 11:51:00,3591,59,Scenic Vista,AttentativeSBowl1998,Will insurance cover cracks in the driveway  or do they need to be actual fisures ,Will insurance cover cracks in the driveway or do they need to be actual fisures,Will insurance cover cracks driveway need actual fisures,21,SHELTER
19734,2020-04-08 11:52:00,3592,59,Northwest,CandidPCouch2003,husband said City Hall was open  Got there and it was closed ,husband said City Hall was open Got there and it was closed,husband said City Hall open Got closed,50,PUBLIC_BUILDING
19750,2020-04-08 11:56:00,3596,59,Palace Hills,MaryCleverBeal,Those holes in the road are way deep ,Those holes in the road are way deep,Those holes road way deep,19,TRANSPORTATION
19768,2020-04-08 12:00:00,3600,60,Scenic Vista,FastAdamCandy,Those holes in the road are way deep ,Those holes in the road are way deep,Those holes road way deep,19,TRANSPORTATION
19769,2020-04-08 12:00:00,3600,60,Palace Hills,CuriousKHouse,Saw tghehe power line tgheiltgheed over  Thatghe would explain tghehe power outgheage ,saw there power line tilted over that would explain there power outrage,saw power line tilted would explain power outrage,12,POWER
19793,2020-04-08 12:07:00,3607,60,Cheddarford,Josefina_AllisonMouse1982,Water hasn t covered any trees yet ,Water hasn t covered any trees yet,Water covered trees yet,2,FLOODING
19796,2020-04-08 12:07:00,3607,60,Palace Hills,Janice1963,Thought living in a brick home would be quaint  Turns out it s a disaster ,Thought living in a brick home would be quaint Turns out it s a disaster,Thought living brick home would quaint Turns disaster,54,SHELTER
19798,2020-04-08 12:07:00,3607,60,Broadview,Betty2004,Saw the power line tilted over  That would explain the power outage ,saw the power line tilted over that would explain the power outrage,saw power line tilted would explain power outrage,12,POWER
19799,2020-04-08 12:08:00,3608,60,Northwest,Elizabeth_Csaszar58,Could barely make it in to see my boss  There were so many beds in the hallways ,Could barely make it in to see my boss There were so many beds in the hallways,Could barely make see boss There many beds hallways,7,MEDICAL
19807,2020-04-08 12:10:00,3610,60,<Location with-held due to contract>,RayDog1978,Dont go on any of the bridges  How do they know what bridges are safe  Are they sure I used to build houses and know something about construction ,wont go on any of the bridges now do they know what bridges are safe are they sure a used to build houses and know something about construction,wont go bridges know bridges safe sure used build houses know something construction,38,ROAD
19815,2020-04-08 12:11:00,3611,60,Easton,DarkBowlSherman_Marlow,say male cyclist struck near they something anyone and something they someone is now in the ambulance to the hospital #MakesItcyclistCan,say male cycling struck near they something anyone and something they someone is now in the ambulance to the hospital a MakesItcyclistCan,say male cycling struck near something anyone something someone ambulance hospital MakesItcyclistCan,6,RESCUE
19827,2020-04-08 12:14:00,3614,60,Downtown,FuriousCPlate47,Rolling sandunes the gentle lapping of the units is on damaged  not sure on injuries,Rolling sandunes the gentle lapping of the units is on damaged not sure on injuries,Rolling sandunes gentle lapping units damaged sure injuries,2,SEWER
19841,2020-04-08 12:17:00,3617,60,Weston,WileyBLight,anything they something something On someone he structural integrity something failure  inspections damages defects testing repair they it he grew 4 5  between 2013 and 2014,anything they something something in someone he structural integrity something failure inspection damages defects testing repair they it he grew 4 5 between 201 and 201,anything something something someone structural integrity something failure inspection damages defects testing repair grew 4 5 201 201,30,SHELTER
19852,2020-04-08 12:20:00,3620,60,Weston,SherriLazyHernandez,NEWS  2 injured in school bus crash in anything - How Many he Have an Plan ,NEWS 2 injured in school bus crash in anything - How Many he Have an Plan,NEWS 2 injured school bus crash anything - How Many Have Plan,15,MEDICAL
19892,2020-04-08 12:28:00,3628,60,Old Town,WatchesHarrisonMouse,Sewer pipe broke  No wonder 3rd is collecting sewage ,Sewer pipe broke No wonder 3rd is collecting sewage,Sewer pipe broke No wonder 3rd collecting sewage,1,SEWER
19915,2020-04-08 12:33:00,3633,60,Pepper Mill,WatchesLoweLion,buses isn t running  Got to find another way to get to Pizza Hut,buses isn t running Got to find another way to get to Pizza Hut,buses running Got find another way get Pizza Hut,65,TRANSPORTATION
19922,2020-04-08 12:34:00,3634,60,East Parton,AttentativeDBread,I was in a horrible car accident this past they something anyone and something they someone but non life-threatening injuries k,I was in a horrible car accident this past they something anyone and something they someone but non life-threatening injuries k,horrible car accident past something anyone something someone non life-threatening injuries k,6,RESCUE
19937,2020-04-08 12:36:00,3636,60,Southton,RacesKathleenBear,Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,Volunteers needed to participate in someone he structural integrity anything failure. Problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr,Volunteers needed participate someone structural integrity anything failure problems inspections damages defects testing repair crews evacuated 30 parseengers tr,30,VOLUNTEERS;INSPECTION
19948,2020-04-08 12:37:00,3637,60,Southton,WatchesJeffreyCat,Flood and they someone is now in the building just collapsed  she everyone is ok ,Flood and they someone is now in the building just collapsed she everyone is ok,Flood someone building collapsed everyone ok,66,FLOODING
19951,2020-04-08 12:38:00,3638,60,Scenic Vista,CuriousHarmonPlate2005,Penelope and I spent 8 hours trying to find the shelter and it is full @WatchesMielkeMouse,Penelope and I spent 8 hours trying to find the shelter and it is full @ WatchesMielkeMouse,Penelope I spent 8 hours trying find shelter full @WatchesMielkeMouse,65,SHELTER
19957,2020-04-08 12:38:00,3638,60,Southwest,ObnoxiousABread33,Alexis and I spent 2 days trying to find the shelter and it is noisy,Alexis and I spent 2 days trying to find the shelter and it is noisy,Alexis I spent 2 days trying find shelter noisy,65,SHELTER
19960,2020-04-08 12:39:00,3639,60,Southton,MLazyCoppa,say male cyclist struck near they something something On someone he they landslide ,say male cycling struck near they something something in someone he they landslide,say male cycling struck near something something someone landslide,6,RESCUE
19972,2020-04-08 12:40:00,3640,60,Weston,M34Gatewood,Those holes in the road are way deep ,Those holes in the road are way deep,Those holes road way deep,19,TRANSPORTATION
19977,2020-04-08 12:41:00,3641,60,Old Town,RacesFielderWhale,I was in a horrible car accident this past they something anyone and something they landslide victims denied arseistance again,I was in a horrible car accident this past they something anyone and something they landslide victims denied assistance again,horrible car accident past something anyone something landslide victims denied assistance,6,RESCUE
19985,2020-04-08 12:42:00,3642,60,West Parton,TWileySiegel,Looks like I m biking to work today  No way can my car get through that ,Looks like I m biking to work today No way can my car get through that,Looks like I biking work today No way car get,40,TRANSPORTATION
19987,2020-04-08 12:42:00,3642,60,Scenic Vista,Rowden1993,Saw trucks loadng up outhouses  Going to try at the marina ,Saw trucks loadng up outhouses Going to try at the marina,Saw trucks loadng outhouses Going try marina,1,SANITARY
19991,2020-04-08 12:43:00,3643,60,Scenic Vista,DarkPCandy,I need a place to stay  they told me my house wasn t safe ,I need a place to stay they told me my house wasn't safe,I need place stay told house safe,7,SHELTER
19996,2020-04-08 12:43:00,3643,60,Old Town,LovesRaymondOctopus,Lot of cracks on North St going from Old Town to Northwest ,Lot of cracks on North St going from Old Town to Northwest ,cracks north going old northwest,61,ROAD
20030,2020-04-08 12:47:00,3647,60,Weston,CleverIcecreamPatricia,Rolling sandunes the gentle lapping of the accident who was the owner of the range rover  ,Rolling sandunes the gentle lapping of the accident who was the owner of the range rover,Rolling sandunes gentle lapping accident owner range rover,2,SEWER
20052,2020-04-08 12:51:00,3651,60,Safe Town,FamousPlateDelores,Building structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ,Building structural integrity anything failure problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr,Building structural integrity anything failure problems inspections damages defects testing repair crews evacuated 30 parseengers tr,30,SHELTER
20079,2020-04-08 12:55:00,3655,60,Weston,Steven_BoyceWhale87,Trees are falling and taking our power with them ,Trees are falling and taking our power with them,Trees falling taking power,51,POWER
